customerID,gender,SeniorCitizen,Partner,Dependents
4223-BKEOR,Female,0,No,Yes
6035-RIIOM,Female,0,No,No
3797-VTIDR,Male,0,Yes,No
2568-BRGYX,Male,0,No,No
2775-SEFEE,Male,0,No,Yes
4291-SHSBH,Male,0,No,No
4635-EJYPD,Male,0,Yes,Yes
2607-DHDAK,Male,0,Yes,Yes
0221-NAUXK,Male,0,No,Yes
3398-ZOUAA,Male,1,Yes,No
1768-HNVGJ,Female,1,No,No
5917-RYRMG,Male,1,No,No
3858-XHYJO,Female,0,Yes,No
4837-PZTIC,Female,0,No,No
1090-PYKCI,Female,0,Yes,Yes
9479-HYNYL,Female,0,Yes,No
4565-NLZBV,Female,0,Yes,No
8318-LCNBW,Male,0,Yes,No
9261-WDCAF,Male,0,No,No
4909-JOUPP,Male,1,Yes,No
1951-IEYXM,Male,0,Yes,Yes
1708-PBBOA,Female,0,No,No
8746-BFOAJ,Male,1,No,No
4145-UQXUQ,Female,1,No,No
9518-XXBXE,Male,1,Yes,No
9558-IHEZX,Female,0,No,No
1707-HABPF,Female,1,No,No
9643-AVVWI,Female,0,Yes,Yes
3398-FSHON,Female,1,No,No
9139-TWBAS,Female,0,Yes,No
0487-CRLZF,Female,0,No,No
0454-OKRCT,Male,0,No,No
2347-WKKAE,Male,0,Yes,No
6663-JOCQO,Male,0,Yes,Yes
1297-VQDRP,Male,1,Yes,Yes
4868-AADLV,Male,1,Yes,Yes
0788-DXBFY,Male,0,Yes,Yes
5845-BZZIB,Male,0,Yes,Yes
7310-EGVHZ,Male,0,No,No
4826-TZEVA,Female,0,No,No
4080-IIARD,Female,0,Yes,No
7672-VFMXZ,Male,0,Yes,No
9940-RHLFB,Female,0,No,No
9117-SHLZX,Male,0,No,No
7253-UVNDW,Female,0,No,No
9898-KZQDZ,Female,1,Yes,Yes
8559-CIZFV,Male,0,Yes,Yes
2506-CLAKW,Female,0,No,No
8591-TKMZH,Male,0,Yes,Yes
4925-LMHOK,Male,0,No,No
4971-PUYQO,Female,0,No,No
0186-CAERR,Male,0,No,No
6233-HXJMX,Female,0,No,No
9367-OIUXP,Male,0,No,No
4588-YBNIB,Female,0,No,No
6467-CHFZW,Male,0,Yes,Yes
8148-BPLZQ,Male,0,No,No
0557-ASKVU,Female,0,Yes,Yes
3354-OADJP,Female,0,No,No
2259-OUUSZ,Male,0,No,No
4919-IKATY,Male,0,Yes,Yes
8681-ICONS,Male,0,Yes,Yes
2232-DMLXU,Female,0,Yes,No
6447-GORXK,Male,0,No,Yes
1777-JYQPJ,Male,0,No,No
6685-GBWJZ,Male,0,Yes,No
3955-JBZZM,Male,0,No,No
5197-LQXXH,Female,0,Yes,No
5993-JSUWV,Female,0,No,No
2219-MVUSO,Male,0,No,No
3158-MOERK,Female,0,No,No
3594-KADLU,Male,0,Yes,No
0932-YIXYU,Female,0,No,No
8348-HFYIV,Male,0,No,No
6837-HAEVO,Male,0,Yes,Yes
6734-GMPVK,Male,0,No,No
7602-DBTOU,Female,0,Yes,No
1670-SVOWZ,Female,0,Yes,Yes
9142-XMYJH,Female,0,No,No
5893-PYOLZ,Male,0,No,No
3319-DWOEP,Male,1,Yes,No
9514-JDSKI,Male,1,Yes,No
7432-FFVAR,Female,0,Yes,Yes
4329-YPDDQ,Male,0,No,No
2860-RANUS,Female,1,No,No
8696-JKZNU,Female,1,No,No
1089-XZWHH,Female,0,Yes,Yes
4831-EOBFE,Male,0,Yes,Yes
4423-YLHDV,Female,0,Yes,No
5449-FIBXJ,Male,0,Yes,Yes
8144-DGHXP,Female,0,No,No
6598-RFFVI,Male,0,No,No
3096-JRDSO,Female,1,Yes,No
1057-FOGLZ,Female,0,No,No
9371-BITHB,Female,0,Yes,Yes
4580-TMHJU,Female,0,Yes,Yes
0178-CIIKR,Female,0,No,No
9348-YVOMK,Male,0,No,No
8417-FMLZI,Male,0,Yes,Yes
6851-WEFYX,Male,1,Yes,No
8181-YHCMF,Female,0,Yes,Yes
7548-SEPYI,Female,0,No,No
0374-IOEGQ,Female,0,No,No
0581-BXBUB,Female,1,No,No
9350-ZXYJC,Female,0,No,No
8642-GVWRF,Female,0,Yes,No
2931-SVLTV,Male,0,Yes,Yes
5183-SNMJQ,Male,0,No,No
7278-CKDNC,Male,1,No,No
8024-XNAFQ,Female,1,No,No
5480-TBGPH,Female,0,Yes,No
7301-ABVAD,Female,0,No,No
4678-DVQEO,Female,0,No,No
9415-DPEWS,Female,0,No,No
3748-FVMZZ,Male,0,No,No
5281-BUZGT,Male,1,No,No
5879-SESNB,Female,0,No,No
1820-TQVEV,Male,0,No,No
9003-CPATH,Male,0,No,No
1268-ASBGA,Female,1,Yes,No
6655-LHBYW,Male,0,No,No
9227-LUNBG,Female,0,No,No
9418-RUKPH,Female,0,Yes,Yes
8734-FNWVH,Male,0,Yes,Yes
4801-KFYKL,Male,0,No,Yes
8327-LZKAS,Female,1,Yes,No
4188-PCPIG,Female,0,Yes,No
1843-TLSGD,Female,0,Yes,Yes
6906-MPARY,Male,0,No,No
6082-OQFBA,Male,0,Yes,Yes
3544-FBCAS,Female,0,Yes,Yes
8034-RYTVV,Female,0,No,No
7130-YXBRO,Male,0,Yes,No
1157-BQCUW,Male,0,No,No
9445-SZLCH,Female,0,Yes,Yes
1399-UBQIU,Male,0,No,No
4912-PIGUY,Female,0,No,No
1323-OOEPC,Female,0,Yes,No
3181-VTHOE,Male,0,Yes,No
8272-ONJLV,Male,0,No,No
3647-GMGDH,Male,0,Yes,No
1303-SRDOK,Female,0,Yes,Yes
7361-YPXFS,Female,1,No,No
3359-DSRKA,Female,0,Yes,Yes
6746-WAUWT,Male,0,No,No
4659-NZRUF,Female,0,No,No
9518-IMLHK,Male,0,No,No
5356-RHIPP,Male,0,No,No
1122-JWTJW,Male,0,Yes,Yes
0650-BWOZN,Female,1,No,No
5546-QUERU,Male,0,No,No
8610-ZIKJJ,Female,0,Yes,Yes
8590-YFFQO,Male,0,Yes,No
2428-HYUNX,Male,1,Yes,No
7219-TLZHO,Female,0,Yes,Yes
2649-HWLYB,Male,0,Yes,No
3348-CFRNX,Female,0,Yes,No
8245-UMPYT,Female,1,No,No
1555-DJEQW,Female,0,Yes,Yes
7776-QGYJC,Female,0,Yes,Yes
2828-SLQPF,Male,0,No,No
3170-GWYKC,Female,0,No,No
1710-RCXUS,Male,0,Yes,No
2673-CXQEU,Female,1,No,No
4859-ZSRDZ,Female,0,Yes,Yes
5795-BKOYE,Female,0,Yes,Yes
2851-MMUTZ,Female,0,No,No
9752-ZNQUT,Female,0,No,No
