customerID,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
4223-BKEOR,One year,No,Mailed check,64.85,1336.8
6035-RIIOM,Two year,Yes,Bank transfer (automatic),97.2,5129.45
3797-VTIDR,Month-to-month,Yes,Electronic check,23.45,23.45
2568-BRGYX,Month-to-month,Yes,Electronic check,70.2,237.95
2775-SEFEE,Two year,Yes,Bank transfer (automatic),61.9, 
4291-SHSBH,Month-to-month,Yes,Electronic check,69.55,521.35
4635-EJYPD,Two year,No,Mailed check,18.95,613.95
2607-DHDAK,Two year,Yes,Credit card (automatic),19.8,1414.65
5204-QZXPU,Month-to-month,Yes,Electronic check,39.65,733.35
0221-NAUXK,One year,Yes,Bank transfer (automatic),19.95,219.5
3398-ZOUAA,Month-to-month,Yes,Electronic check,69.1,1474.75
1768-HNVGJ,Month-to-month,Yes,Electronic check,70.05,3062.45
5917-RYRMG,One year,No,Credit card (automatic),19.8,587.7
3858-XHYJO,One year,No,Bank transfer (automatic),105.75,4228.55
4837-PZTIC,Two year,No,Mailed check,41.9,1875.25
2773-MADBQ,Two year,Yes,Mailed check,53.1,1901.25
1090-PYKCI,One year,Yes,Credit card (automatic),105.1,7234.8
9479-HYNYL,Two year,Yes,Credit card (automatic),80.7,5705.05
4565-NLZBV,Two year,Yes,Bank transfer (automatic),24.65,1710.15
8318-LCNBW,One year,No,Credit card (automatic),53.15,1930.9
9261-WDCAF,Month-to-month,No,Mailed check,54.65,189.1
4909-JOUPP,Two year,No,Credit card (automatic),109.7,7898.45
1951-IEYXM,Two year,Yes,Credit card (automatic),90.6,6441.85
4227-OJHAL,One year,Yes,Credit card (automatic),73.0,5163
1708-PBBOA,One year,Yes,Electronic check,54.75,2348.45
8746-BFOAJ,One year,No,Bank transfer (automatic),20.5,429.55
4145-UQXUQ,Month-to-month,Yes,Electronic check,92.1,729.95
9518-XXBXE,Month-to-month,No,Electronic check,75.3,720.45
9558-IHEZX,Two year,Yes,Credit card (automatic),106.75,7283.25
1707-HABPF,One year,Yes,Bank transfer (automatic),91.3,4126.35
9643-AVVWI,Month-to-month,Yes,Electronic check,80.0,241.3
