customerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
4223-BKEOR,Yes,No,DSL,Yes,No,Yes,No,No,Yes
6035-RIIOM,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
3797-VTIDR,No,No phone service,DSL,No,No,No,No,No,No
2568-BRGYX,Yes,No,Fiber optic,No,No,No,No,No,No
2775-SEFEE,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
4291-SHSBH,Yes,No,Fiber optic,No,No,No,No,No,No
4635-EJYPD,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2607-DHDAK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5204-QZXPU,No,No phone service,DSL,No,No,Yes,No,Yes,No
0221-NAUXK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3398-ZOUAA,Yes,No,Fiber optic,No,No,No,No,No,No
1768-HNVGJ,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
5917-RYRMG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3858-XHYJO,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
4837-PZTIC,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
2773-MADBQ,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
1090-PYKCI,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
9479-HYNYL,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
4565-NLZBV,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8318-LCNBW,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
9261-WDCAF,Yes,No,DSL,No,No,No,No,No,Yes
4909-JOUPP,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
1951-IEYXM,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4227-OJHAL,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No
1708-PBBOA,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
8746-BFOAJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4145-UQXUQ,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
9518-XXBXE,Yes,No,Fiber optic,Yes,No,No,No,No,No
9558-IHEZX,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
1707-HABPF,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
9643-AVVWI,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
3398-FSHON,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
9139-TWBAS,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No
0929-HYQEW,Yes,No,DSL,Yes,No,No,No,No,No
0487-CRLZF,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
0454-OKRCT,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
2347-WKKAE,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
6663-JOCQO,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes
1297-VQDRP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
4868-AADLV,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0788-DXBFY,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5845-BZZIB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7310-EGVHZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4826-TZEVA,Yes,No,Fiber optic,No,Yes,No,No,No,No
4080-IIARD,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No
7672-VFMXZ,Yes,No,DSL,Yes,No,No,Yes,No,No
9940-RHLFB,Yes,No,Fiber optic,No,No,Yes,No,No,No
9117-SHLZX,Yes,No,DSL,No,No,No,No,No,No
7253-UVNDW,Yes,No,DSL,No,No,Yes,Yes,No,No
9898-KZQDZ,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
8559-CIZFV,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No
2506-CLAKW,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
8591-TKMZH,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
4925-LMHOK,Yes,Yes,DSL,No,Yes,No,Yes,No,No
4971-PUYQO,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
0186-CAERR,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6233-HXJMX,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
9367-OIUXP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4588-YBNIB,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
